Make,Model,Year,Body type,Colors exterior,Cylinders,Transmission
,,,,,,
BMW,3 Series,1990,Convertible,,I6,5-speed manual
BMW,3 Series,1990,Sedan,,I6,5-speed manual
BMW,3 Series,1990,Sedan,,I6,5-speed manual
BMW,3 Series,1990,Coupe,,I6,5-speed manual
BMW,3 Series,1990,Coupe,,I6,5-speed manual
BMW,3 Series,1990,Coupe,,I6,5-speed manual
BMW,3 Series,1990,Coupe,,I4,5-speed manual
BMW,3 Series,1994,Convertible,Samoa Blue Metallic();Jet Black();Samana Beige Metallic();Brilliant Red();Orient Blue Metallic();Diamond Black Metallic();Arctic Silver Metallic();Mauritius Blue Metallic();Morea Green Metallic();Arctic Gray Metallic();Cashmere Beige Metallic();Oxford Green Metallic();Granite Silver Metallic();Sterling Silver Metallic();Boston Green Metallic();Alpine White II();Brocade Red Metallic();Calypso Red Metallic();,I4,5-speed manual
BMW,3 Series,1994,Convertible,Brocade Red Metallic();Jet Black();Brilliant Red();Sterling Silver Metallic();Orient Blue Metallic();Arctic Silver Metallic();Calypso Red Metallic();Boston Green Metallic();Mauritius Blue Metallic();Samoa Blue Metallic();Morea Green Metallic();Diamond Black Metallic();Samana Beige Metallic();Granite Silver Metallic();Alpine White II();Oxford Green Metallic();Arctic Gray Metallic();Cashmere Beige Metallic();,I6,5-speed manual
BMW,3 Series,1994,Sedan,Samoa Blue Metallic();Brilliant Red();Alpine White II();Diamond Black Metallic();Samana Beige Metallic();Sterling Silver Metallic();Cashmere Beige Metallic();Oxford Green Metallic();Granite Silver Metallic();Brocade Red Metallic();Arctic Gray Metallic();Orient Blue Metallic();Arctic Silver Metallic();Boston Green Metallic();Calypso Red Metallic();Jet Black();Mauritius Blue Metallic();Morea Green Metallic();,I4,5-speed manual
BMW,3 Series,1994,Sedan,Samoa Blue Metallic();Morea Green Metallic();Alpine White II();Samana Beige Metallic();Cashmere Beige Metallic();Oxford Green Metallic();Diamond Black Metallic();Jet Black();Arctic Gray Metallic();Mauritius Blue Metallic();Arctic Silver Metallic();Sterling Silver Metallic();Granite Silver Metallic();Orient Blue Metallic();Brocade Red Metallic();Calypso Red Metallic();Boston Green Metallic();Brilliant Red();,I6,5-speed manual
BMW,3 Series,1994,Coupe,Oxford Green Metallic();Calypso Red Metallic();Jet Black();Samana Beige Metallic();Mauritius Blue Metallic();Diamond Black Metallic();Granite Silver Metallic();Cashmere Beige Metallic();Sterling Silver Metallic();Boston Green Metallic();Alpine White II();Orient Blue Metallic();Morea Green Metallic();Arctic Silver Metallic();Samoa Blue Metallic();Brilliant Red();Arctic Gray Metallic();Brocade Red Metallic();,I4,5-speed manual
BMW,3 Series,1994,Coupe,Mauritius Blue Metallic();Arctic Gray Metallic();Arctic Silver Metallic();Sterling Silver Metallic();Calypso Red Metallic();Jet Black();Cashmere Beige Metallic();Alpine White II();Boston Green Metallic();Brocade Red Metallic();Samana Beige Metallic();Morea Green Metallic();Samoa Blue Metallic();Brilliant Red();Orient Blue Metallic();Diamond Black Metallic();Oxford Green Metallic();Granite Silver Metallic();,I6,5-speed manual
BMW,3 Series,1998,Sedan,"Cosmos Black Metallic(0,0,0);Titan Silver Metallic();Arctic Silver Metallic(0,155,161);Sierra Red Pearl Metallic();Fern Green Pearl Metallic();Black II(0,0,0);Madeira Black Metallic();Morea Green Metallic();Aegean Blue();Avus Blue Pearl Metallic();Kiruna Violett Pearl Metallic();Alpine White III(0,255,255);Ascot Green Metallic();Bright Red(0,14,5);Boston Green Metallic();Imola Red(0,40,26);",I4,5-speed manual
BMW,3 Series,1998,Sedan,"Sierra Red Pearl Metallic();Madeira Black Metallic();Kiruna Violett Pearl Metallic();Arctic Silver Metallic(0,155,161);Black II(0,0,0);Imola Red(0,40,26);Avus Blue Pearl Metallic();Bright Red(0,14,5);Ascot Green Metallic();Aegean Blue();Cosmos Black Metallic(0,0,0);Fern Green Pearl Metallic();Morea Green Metallic();Boston Green Metallic();Alpine White III(0,255,255);Titan Silver Metallic();",I6,5-speed manual
BMW,3 Series,1998,Hatchback,"Arctic Silver Metallic(0,155,161);Bright Red(0,14,5);Avus Blue Pearl Metallic();Madeira Black Metallic();Aegean Blue();Kiruna Violett Pearl Metallic();Ascot Green Metallic();Boston Green Metallic();Alpine White III(0,255,255);Morea Green Metallic();Imola Red(0,40,26);Cosmos Black Metallic(0,0,0);Titan Silver Metallic();Sierra Red Pearl Metallic();Fern Green Pearl Metallic();Black II(0,0,0);",I4,5-speed manual
BMW,3 Series,1998,Convertible,"Morea Green Metallic();Aegean Blue();Ascot Green Metallic();Imola Red(0,40,26);Fern Green Pearl Metallic();Cosmos Black Metallic(0,0,0);Titan Silver Metallic();Sierra Red Pearl Metallic();Madeira Black Metallic();Black II(0,0,0);Arctic Silver Metallic(0,155,161);Avus Blue Pearl Metallic();Bright Red(0,14,5);Kiruna Violett Pearl Metallic();Alpine White III(0,255,255);Boston Green Metallic();",I6,5-speed manual
BMW,3 Series,1998,Convertible,"Imola Red(0,40,26);Avus Blue Pearl Metallic();Bright Red(0,14,5);Cosmos Black Metallic(0,0,0);Aegean Blue();Morea Green Metallic();Fern Green Pearl Metallic();Ascot Green Metallic();Boston Green Metallic();Alpine White III(0,255,255);Black II(0,0,0);Sierra Red Pearl Metallic();Titan Silver Metallic();Madeira Black Metallic();Kiruna Violett Pearl Metallic();Arctic Silver Metallic(0,155,161);",I6,5-speed manual
BMW,3 Series,1998,Coupe,"Fern Green Pearl Metallic();Arctic Silver Metallic(0,155,161);Avus Blue Pearl Metallic();Bright Red(0,14,5);Ascot Green Metallic();Black II(0,0,0);Cosmos Black Metallic(0,0,0);Aegean Blue();Morea Green Metallic();Kiruna Violett Pearl Metallic();Alpine White III(0,255,255);Boston Green Metallic();Imola Red(0,40,26);Titan Silver Metallic();Sierra Red Pearl Metallic();Madeira Black Metallic();",I6,5-speed manual
BMW,3 Series,1998,Coupe,"Cosmos Black Metallic(0,0,0);Black II(0,0,0);Morea Green Metallic();Fern Green Pearl Metallic();Ascot Green Metallic();Aegean Blue();Alpine White III(0,255,255);Sierra Red Pearl Metallic();Titan Silver Metallic();Madeira Black Metallic();Kiruna Violett Pearl Metallic();Arctic Silver Metallic(0,155,161);Avus Blue Pearl Metallic();Imola Red(0,40,26);Boston Green Metallic();Bright Red(0,14,5);",I6,5-speed manual
BMW,3 Series,1998,Sedan,"Madeira Black Metallic();Ascot Green Metallic();Techno Violet Metallic();Boston Green Metallic();Cosmos Black Metallic(0,0,0);Avus Blue Pearl Metallic();Arctic Silver Metallic(0,155,161);Sierra Red Pearl Metallic();Morea Green Metallic();Boston Green Metallic();Estoril Blue Metallic();Bright Red(0,14,5);Alpine White(0,255,255);Kiruna Violett Pearl Metallic();Alpine White III(0,255,255);Cosmos Black Metallic(0,0,0);Imola Red(0,40,26);Titanium Silver Metallic();Aegean Blue();Arctic Silver Metallic(0,155,161);Fern Green Pearl Metallic();Bright Red(0,14,5);Dakar Yellow 2();Black II(0,0,0);Titan Silver Metallic();",I6,5-speed manual
BMW,3 Series,1998,Coupe,"Fern Green Pearl Metallic();Bright Red(0,14,5);Dakar Yellow 2();Bright Red(0,14,5);Black II(0,0,0);Titanium Silver Metallic();Madeira Black Metallic();Kiruna Violett Pearl Metallic();Sierra Red Pearl Metallic();Imola Red(0,40,26);Alpine White III(0,255,255);Ascot Green Metallic();Titan Silver Metallic();Morea Green Metallic();Cosmos Black Metallic(0,0,0);Techno Violet Metallic();Boston Green Metallic();Boston Green Metallic();Arctic Silver Metallic(0,155,161);Aegean Blue();Cosmos Black Metallic(0,0,0);Avus Blue Pearl Metallic();Alpine White(0,255,255);Estoril Blue Metallic();",I6,5-speed manual
BMW,3 Series,1998,Convertible,"Cosmos Black Metallic(0,0,0);Estoril Blue Metallic();Arctic Silver Metallic(0,155,161);Aegean Blue();Alpine White(0,255,255);Avus Blue Pearl Metallic();Boston Green Metallic();Dakar Yellow 2();Techno Violet Metallic();Bright Red(0,14,5);Black II(0,0,0);Titanium Silver Metallic();Fern Green Pearl Metallic();Alpine White III(0,255,255);Bright Red(0,14,5);Ascot Green Metallic();Titan Silver Metallic();Sierra Red Pearl Metallic();Madeira Black Metallic();Imola Red(0,40,26);Kiruna Violett Pearl Metallic();Arctic Silver Metallic(0,155,161);Cosmos Black Metallic(0,0,0);Fern Green Metallic();Morea Green Metallic();",I6,5-speed manual
BMW,3 Series,2002,Sedan,"Electric Red(169,36,39);Jet Black(0,0,0);Oxford Green Metallic(66,98,87);Orient Blue Metallic(30,94,130);Gray Green Metallic(170,183,174);Black Sapphire Metallic(0,0,0);Topaz Blue Metallic(58,85,115);Titanium Silver Metallic(192,192,192);Steel Gray Metallic(60,60,65);Alpine White(255,255,255);Steel Blue Metallic(75,78,92);",I6,5-speed manual
BMW,3 Series,2002,Sedan,"Electric Red(169,36,39);Jet Black(0,0,0);Oxford Green Metallic(66,98,87);Orient Blue Metallic(30,94,130);Gray Green Metallic(170,183,174);Black Sapphire Metallic(0,0,0);Topaz Blue Metallic(58,85,115);Titanium Silver Metallic(192,192,192);Steel Gray Metallic(60,60,65);Alpine White(255,255,255);Steel Blue Metallic(75,78,92);",I6,5-speed manual
BMW,3 Series,2002,Sedan,"Electric Red(169,36,39);Jet Black(0,0,0);Oxford Green Metallic(66,98,87);Orient Blue Metallic(30,94,130);Gray Green Metallic(170,183,174);Black Sapphire Metallic(0,0,0);Topaz Blue Metallic(58,85,115);Titanium Silver Metallic(192,192,192);Steel Gray Metallic(60,60,65);Alpine White(255,255,255);Steel Blue Metallic(75,78,92);",I6,5-speed manual
BMW,3 Series,2002,Sedan,"Electric Red(169,36,39);Jet Black(0,0,0);Oxford Green Metallic(66,98,87);Orient Blue Metallic(30,94,130);Gray Green Metallic(170,183,174);Black Sapphire Metallic(0,0,0);Topaz Blue Metallic(58,85,115);Titanium Silver Metallic(192,192,192);Steel Gray Metallic(60,60,65);Alpine White(255,255,255);Steel Blue Metallic(75,78,92);",I6,5-speed manual
BMW,3 Series,2002,Coupe,"Electric Red(169,36,39);Jet Black(0,0,0);Oxford Green Metallic(66,98,87);Orient Blue Metallic(30,94,130);Gray Green Metallic(170,183,174);Black Sapphire Metallic(0,0,0);Topaz Blue Metallic(58,85,115);Titanium Silver Metallic(192,192,192);Steel Gray Metallic(60,60,65);Alpine White(255,255,255);Steel Blue Metallic(75,78,92);",I6,5-speed manual
BMW,3 Series,2002,Coupe,"Electric Red(169,36,39);Jet Black(0,0,0);Oxford Green Metallic(66,98,87);Orient Blue Metallic(30,94,130);Gray Green Metallic(170,183,174);Black Sapphire Metallic(0,0,0);Topaz Blue Metallic(58,85,115);Titanium Silver Metallic(192,192,192);Steel Gray Metallic(60,60,65);Alpine White(255,255,255);Steel Blue Metallic(75,78,92);",I6,5-speed manual
BMW,3 Series,2002,Wagon,"Electric Red(169,36,39);Jet Black(0,0,0);Oxford Green Metallic(66,98,87);Orient Blue Metallic(30,94,130);Gray Green Metallic(170,183,174);Black Sapphire Metallic(0,0,0);Topaz Blue Metallic(58,85,115);Titanium Silver Metallic(192,192,192);Steel Gray Metallic(60,60,65);Alpine White(255,255,255);Steel Blue Metallic(75,78,92);",I6,5-speed manual
BMW,3 Series,2002,Wagon,"Electric Red(169,36,39);Jet Black(0,0,0);Oxford Green Metallic(66,98,87);Orient Blue Metallic(30,94,130);Gray Green Metallic(170,183,174);Black Sapphire Metallic(0,0,0);Topaz Blue Metallic(58,85,115);Titanium Silver Metallic(192,192,192);Steel Gray Metallic(60,60,65);Alpine White(255,255,255);Steel Blue Metallic(75,78,92);",I6,5-speed manual
BMW,3 Series,2002,Convertible,"Electric Red(169,36,39);Jet Black(0,0,0);Oxford Green Metallic(66,98,87);Orient Blue Metallic(30,94,130);Gray Green Metallic(170,183,174);Black Sapphire Metallic(0,0,0);Topaz Blue Metallic(58,85,115);Titanium Silver Metallic(192,192,192);Steel Gray Metallic(60,60,65);Alpine White(255,255,255);Steel Blue Metallic(75,78,92);",I6,5-speed manual
BMW,3 Series,2002,Convertible,"Electric Red(169,36,39);Jet Black(0,0,0);Oxford Green Metallic(66,98,87);Orient Blue Metallic(30,94,130);Gray Green Metallic(170,183,174);Black Sapphire Metallic(0,0,0);Topaz Blue Metallic(58,85,115);Titanium Silver Metallic(192,192,192);Steel Gray Metallic(60,60,65);Alpine White(255,255,255);Steel Blue Metallic(75,78,92);",I6,5-speed manual
BMW,3 Series,2002,Coupe,"Alpine White(255,255,255);Topaz Blue Metallic(62,94,132);Titanium Silver Metallic(171,172,175);Carbon Black Metallic(0,0,0);Laguna Seca Blue(64,127,160);Jet Black(0,0,0);Steel Gray Metallic(60,60,65);Phoenix Yellow Metallic(200,193,89);Oxford Green Metallic(74,108,97);Imola Red(149,22,31);",I6,6-speed manual
BMW,3 Series,2002,Convertible,"Alpine White(255,255,255);Topaz Blue Metallic(62,94,132);Titanium Silver Metallic(171,172,175);Carbon Black Metallic(0,0,0);Laguna Seca Blue(64,127,160);Jet Black(0,0,0);Steel Gray Metallic(60,60,65);Phoenix Yellow Metallic(200,193,89);Oxford Green Metallic(74,108,97);Imola Red(149,22,31);",I6,6-speed manual
BMW,3 Series,2006,Sedan,"Monaco Blue Metallic(79,86,116);Titanium Silver Metallic(192,192,192);Barrique Red Metallic(107,76,82);Black Sapphire Metallic(0,0,0);Deep Green Metallic(69,107,84);Mystic Blue Metallic(22,74,105);Sonora Metallic(175,166,133);Alpine White(255,255,255);Electric Red(169,36,39);Jet Black(0,0,0);Sparkling Graphite Metallic(98,99,101);Arctic Metallic(214,226,222);",I6,6-speed manual
BMW,3 Series,2006,Sedan,"Monaco Blue Metallic(79,86,116);Titanium Silver Metallic(192,192,192);Barrique Red Metallic(107,76,82);Black Sapphire Metallic(0,0,0);Deep Green Metallic(69,107,84);Mystic Blue Metallic(22,74,105);Sonora Metallic(175,166,133);Alpine White(255,255,255);Electric Red(169,36,39);Jet Black(0,0,0);Sparkling Graphite Metallic(98,99,101);Arctic Metallic(214,226,222);",I6,6-speed manual
BMW,3 Series,2006,Sedan,"Monaco Blue Metallic(79,86,116);Titanium Silver Metallic(192,192,192);Barrique Red Metallic(107,76,82);Black Sapphire Metallic(0,0,0);Deep Green Metallic(69,107,84);Mystic Blue Metallic(22,74,105);Sonora Metallic(175,166,133);Alpine White(255,255,255);Electric Red(169,36,39);Jet Black(0,0,0);Sparkling Graphite Metallic(98,99,101);Arctic Metallic(214,226,222);",I6,6-speed manual
BMW,3 Series,2006,Sedan,"Monaco Blue Metallic(79,86,116);Titanium Silver Metallic(192,192,192);Barrique Red Metallic(107,76,82);Black Sapphire Metallic(0,0,0);Deep Green Metallic(69,107,84);Mystic Blue Metallic(22,74,105);Sonora Metallic(175,166,133);Alpine White(255,255,255);Electric Red(169,36,39);Jet Black(0,0,0);Sparkling Graphite Metallic(98,99,101);Arctic Metallic(214,226,222);",I6,6-speed manual
BMW,3 Series,2006,Coupe,"Monaco Blue Metallic(79,86,116);Titanium Silver Metallic(192,192,192);Black Sapphire Metallic(0,0,0);Deep Green Metallic(69,107,84);Silver Gray Metallic(78,82,83);Quartz Blue Metallic(117,129,143);Mystic Blue Metallic(22,74,105);Sonora Metallic(175,166,133);Alpine White(255,255,255);Electric Red(169,36,39);Jet Black(0,0,0);Sparkling Graphite Metallic(98,99,101);",I6,5-speed manual
BMW,3 Series,2006,Coupe,"Deep Green Metallic(69,107,84);Alpine White(255,255,255);Electric Red(169,36,39);Jet Black(0,0,0);Sparkling Graphite Metallic(98,99,101);Monaco Blue Metallic(79,86,116);Titanium Silver Metallic(192,192,192);Black Sapphire Metallic(0,0,0);Silver Gray Metallic(78,82,83);Quartz Blue Metallic(117,129,143);Imola Red(149,22,31);Mystic Blue Metallic(22,74,105);Sonora Metallic(175,166,133);",I6,6-speed manual
BMW,3 Series,2006,Wagon,"Monaco Blue Metallic(79,86,116);Titanium Silver Metallic(192,192,192);Barrique Red Metallic(107,76,82);Black Sapphire Metallic(0,0,0);Deep Green Metallic(69,107,84);Mystic Blue Metallic(22,74,105);Sonora Metallic(175,166,133);Alpine White(255,255,255);Electric Red(169,36,39);Jet Black(0,0,0);Sparkling Graphite Metallic(98,99,101);Arctic Metallic(214,226,222);",I6,6-speed manual
BMW,3 Series,2006,Convertible,"Monaco Blue Metallic(79,86,116);Titanium Silver Metallic(192,192,192);Black Sapphire Metallic(0,0,0);Deep Green Metallic(69,107,84);Silver Gray Metallic(78,82,83);Quartz Blue Metallic(117,129,143);Mystic Blue Metallic(22,74,105);Sonora Metallic(175,166,133);Alpine White(255,255,255);Electric Red(169,36,39);Jet Black(0,0,0);Sparkling Graphite Metallic(98,99,101);",I6,5-speed manual
BMW,3 Series,2006,Convertible,"Monaco Blue Metallic(79,86,116);Titanium Silver Metallic(192,192,192);Black Sapphire Metallic(0,0,0);Deep Green Metallic(69,107,84);Silver Gray Metallic(78,82,83);Quartz Blue Metallic(117,129,143);Imola Red(149,22,31);Mystic Blue Metallic(22,74,105);Sonora Metallic(175,166,133);Alpine White(255,255,255);Electric Red(169,36,39);Jet Black(0,0,0);Sparkling Graphite Metallic(98,99,101);",I6,6-speed manual
BMW,3 Series,2006,Coupe,"Interlagos Blue Metallic(69,83,130);Carbon Black Metallic(0,0,0);Jet Black(0,0,0);Mystic Blue Metallic(61,83,122);Silver Gray Metallic(95,100,103);Alpine White(255,255,255);Titanium Silver Metallic(171,172,175);Imola Red(149,22,31);",I6,6-speed manual
BMW,3 Series,2006,Convertible,"Carbon Black Metallic(0,0,0);Jet Black(0,0,0);Mystic Blue Metallic(61,83,122);Silver Gray Metallic(95,100,103);Alpine White(255,255,255);Titanium Silver Metallic(171,172,175);Imola Red(149,22,31);",I6,6-speed manual
BMW,3 Series,2010,Sedan,"Platinum Bronze Metallic(173,169,162);Space Gray Metallic(136,144,147);Tasman Green Metallic(119,130,126);Crimson Red(146,13,14);Blue Water Metallic(154,166,180);Jet Black(0,0,0);Barbera Red Metallic(61,20,28);Monaco Blue Metallic(21,34,51);Montego Blue Metallic(21,44,76);Alpine White(255,255,255);Black Sapphire Metallic(0,0,0);Titanium Silver Metallic(190,190,190);LeMans Blue Metallic(27,47,80);",I6,6-speed manual
BMW,3 Series,2010,Sedan,"Platinum Bronze Metallic(173,169,162);Space Gray Metallic(136,144,147);Tasman Green Metallic(119,130,126);Crimson Red(146,13,14);Blue Water Metallic(154,166,180);Jet Black(0,0,0);Barbera Red Metallic(61,20,28);Monaco Blue Metallic(21,34,51);Montego Blue Metallic(21,44,76);Alpine White(255,255,255);Black Sapphire Metallic(0,0,0);Titanium Silver Metallic(190,190,190);LeMans Blue Metallic(27,47,80);",I6,6-speed manual
BMW,3 Series,2010,Sedan,"Platinum Bronze Metallic(173,169,162);Space Gray Metallic(136,144,147);Tasman Green Metallic(119,130,126);Crimson Red(146,13,14);Blue Water Metallic(154,166,180);Jet Black(0,0,0);Barbera Red Metallic(61,20,28);Monaco Blue Metallic(21,34,51);Montego Blue Metallic(21,44,76);Alpine White(255,255,255);Black Sapphire Metallic(0,0,0);Titanium Silver Metallic(190,190,190);LeMans Blue Metallic(27,47,80);",I6,6-speed manual
BMW,3 Series,2010,Sedan,"Platinum Bronze Metallic(173,169,162);Space Gray Metallic(136,144,147);Tasman Green Metallic(119,130,126);Crimson Red(146,13,14);Blue Water Metallic(154,166,180);Jet Black(0,0,0);Barbera Red Metallic(61,20,28);Monaco Blue Metallic(21,34,51);Montego Blue Metallic(21,44,76);Alpine White(255,255,255);Black Sapphire Metallic(0,0,0);Titanium Silver Metallic(190,190,190);LeMans Blue Metallic(27,47,80);",I6,6-speed manual
BMW,3 Series,2010,Wagon,"Platinum Bronze Metallic(173,169,162);Space Gray Metallic(136,144,147);Tasman Green Metallic(119,130,126);Crimson Red(146,13,14);Blue Water Metallic(154,166,180);Jet Black(0,0,0);Barbera Red Metallic(61,20,28);Monaco Blue Metallic(21,34,51);Montego Blue Metallic(21,44,76);Alpine White(255,255,255);Black Sapphire Metallic(0,0,0);Titanium Silver Metallic(190,190,190);LeMans Blue Metallic(27,47,80);",I6,6-speed manual
BMW,3 Series,2010,Wagon,"Platinum Bronze Metallic(173,169,162);Space Gray Metallic(136,144,147);Tasman Green Metallic(119,130,126);Crimson Red(146,13,14);Blue Water Metallic(154,166,180);Jet Black(0,0,0);Barbera Red Metallic(61,20,28);Monaco Blue Metallic(21,34,51);Montego Blue Metallic(21,44,76);Alpine White(255,255,255);Black Sapphire Metallic(0,0,0);Titanium Silver Metallic(190,190,190);LeMans Blue Metallic(27,47,80);",I6,6-speed manual
BMW,3 Series,2010,Coupe,"Platinum Bronze Metallic(173,169,162);Space Gray Metallic(136,144,147);Tasman Green Metallic(119,130,126);Crimson Red(146,13,14);Blue Water Metallic(154,166,180);Jet Black(0,0,0);Mojave Metallic(76,71,65);Atlantic Blue Metallic(147,164,172);Barbera Red Metallic(61,20,28);Monaco Blue Metallic(21,34,51);Montego Blue Metallic(21,44,76);Alpine White(255,255,255);Black Sapphire Metallic(0,0,0);Titanium Silver Metallic(190,190,190);LeMans Blue Metallic(27,47,80);",I6,6-speed manual
BMW,3 Series,2010,Coupe,"Platinum Bronze Metallic(173,169,162);Space Gray Metallic(136,144,147);Tasman Green Metallic(119,130,126);Crimson Red(146,13,14);Blue Water Metallic(154,166,180);Jet Black(0,0,0);Mojave Metallic(76,71,65);Atlantic Blue Metallic(147,164,172);Barbera Red Metallic(61,20,28);Monaco Blue Metallic(21,34,51);Montego Blue Metallic(21,44,76);Alpine White(255,255,255);Black Sapphire Metallic(0,0,0);Titanium Silver Metallic(190,190,190);LeMans Blue Metallic(27,47,80);",I6,6-speed manual
BMW,3 Series,2010,Coupe,"Platinum Bronze Metallic(173,169,162);Space Gray Metallic(136,144,147);Tasman Green Metallic(119,130,126);Crimson Red(146,13,14);Blue Water Metallic(154,166,180);Jet Black(0,0,0);Mojave Metallic(76,71,65);Atlantic Blue Metallic(147,164,172);Barbera Red Metallic(61,20,28);Monaco Blue Metallic(21,34,51);Montego Blue Metallic(21,44,76);Alpine White(255,255,255);Black Sapphire Metallic(0,0,0);Titanium Silver Metallic(190,190,190);LeMans Blue Metallic(27,47,80);",I6,6-speed manual
BMW,3 Series,2010,Coupe,"Platinum Bronze Metallic(173,169,162);Space Gray Metallic(136,144,147);Tasman Green Metallic(119,130,126);Crimson Red(146,13,14);Blue Water Metallic(154,166,180);Jet Black(0,0,0);Mojave Metallic(76,71,65);Atlantic Blue Metallic(147,164,172);Barbera Red Metallic(61,20,28);Monaco Blue Metallic(21,34,51);Montego Blue Metallic(21,44,76);Alpine White(255,255,255);Black Sapphire Metallic(0,0,0);Titanium Silver Metallic(190,190,190);LeMans Blue Metallic(27,47,80);",I6,6-speed manual
BMW,3 Series,2010,Sedan,"Platinum Bronze Metallic(173,169,162);Space Gray Metallic(136,144,147);Tasman Green Metallic(119,130,126);Crimson Red(146,13,14);Blue Water Metallic(154,166,180);Jet Black(0,0,0);Barbera Red Metallic(61,20,28);Monaco Blue Metallic(21,34,51);Montego Blue Metallic(21,44,76);Alpine White(255,255,255);Black Sapphire Metallic(0,0,0);Titanium Silver Metallic(190,190,190);",I6,6-speed shiftable automatic
BMW,3 Series,2010,Convertible,"Platinum Bronze Metallic(173,169,162);Space Gray Metallic(136,144,147);Tasman Green Metallic(119,130,126);Crimson Red(146,13,14);Blue Water Metallic(154,166,180);Jet Black(0,0,0);Mojave Metallic(76,71,65);Atlantic Blue Metallic(147,164,172);Barbera Red Metallic(61,20,28);Monaco Blue Metallic(21,34,51);Montego Blue Metallic(21,44,76);Alpine White(255,255,255);Black Sapphire Metallic(0,0,0);Titanium Silver Metallic(190,190,190);LeMans Blue Metallic(27,47,80);",I6,6-speed manual
BMW,3 Series,2010,Convertible,"Platinum Bronze Metallic(173,169,162);Space Gray Metallic(136,144,147);Tasman Green Metallic(119,130,126);Crimson Red(146,13,14);Blue Water Metallic(154,166,180);Jet Black(0,0,0);Mojave Metallic(76,71,65);Atlantic Blue Metallic(147,164,172);Barbera Red Metallic(61,20,28);Monaco Blue Metallic(21,34,51);Montego Blue Metallic(21,44,76);Alpine White(255,255,255);Black Sapphire Metallic(0,0,0);Titanium Silver Metallic(190,190,190);LeMans Blue Metallic(27,47,80);",I6,6-speed manual
BMW,3 Series,2010,Sedan,"Le Mans Blue Metallic(41,67,104);Melbourne Red Metallic(158,35,37);Interlagos Blue Metallic(34,47,96);Silverstone Metallic(167,177,186);Jerez Black Metallic(37,42,48);Space Gray Metallic(136,144,147);Jet Black(0,0,0);Alpine White(255,255,255);",V8,6-speed manual
BMW,3 Series,2010,Coupe,"Le Mans Blue Metallic(41,67,104);Melbourne Red Metallic(158,35,37);Interlagos Blue Metallic(34,47,96);Silverstone Metallic(167,177,186);Jerez Black Metallic(37,42,48);Space Gray Metallic(136,144,147);Jet Black(0,0,0);Alpine White(255,255,255);",V8,6-speed manual
